kind,action_count,beta,User,Item,baseline_rho_mat,max_rho_mat,max_rank_mat,baseline_rank_mat,updated_baseline_rho_mat,updated_baseline_rank_mat,lift,updated_rank_gain,updated_lift,log_baseline_rho,log_max_rho,log_lift,fancy_kind,new_log_lift
Next K,20,1.0,29,1859.301204819277,0.0002855872201949163,0.0004182540935749134,1355.3835341365461,,0.0002813836399340404,1820.3734939759036,1.4898086116906712,464.9899598393574,1.515392047394428,-8.52782981723495,-8.112934810381283,0.41489500685366526,Next K,0.18052500379121153
Next K,20,1.0,34,1908.64859437751,0.0002955887629108029,0.00035678498100593926,1473.937751004016,,0.00029351129074436206,1714.5883534136547,1.2415452346574951,240.65060240963857,1.2173285969358907,-8.457406013209381,-8.260901805777364,0.19650420743202504,Next K,0.08540782438744408
Next K,20,1.0,43,1876.3627254509017,0.0002964891086718849,0.0004031308867271108,1366.4669338677354,,0.00029515359352418654,1764.8276553106211,1.408928436579155,398.3607214428858,1.3755519017284212,-8.500205074798563,-8.181472378823104,0.31873269597545467,Next K,0.13847698164609676
Next K,20,1.0,45,1853.338,0.000247947985525813,0.0004013668175876514,1292.344,,0.0002538597299233607,1802.52,2.445920438963698,510.176,1.5938732660870167,-8.946741450481033,-8.48140593617283,0.4653355143081884,Next K,0.20245378630274308
Next K,20,1.0,171,1837.8156312625251,0.0002690060825103068,0.0005176935669112624,1092.0801603206412,,0.00027757473171283496,1836.1743486973949,1.9499743205428806,744.0941883767536,1.9260070137183154,-8.535427818950412,-7.881718603942854,0.653709215007548,Next K,0.2846578643116807
Next K,20,1.0,231,1857.1207243460765,0.0002859841056670404,0.00041886407465575355,1312.4024144869215,,0.00028576061322237037,1805.943661971831,1.4818144700751883,493.54124748490943,1.47986446636887,-8.57275124729108,-8.181048390000498,0.3917028572905731,Next K,0.17022194228451804
Next K,20,1.0,362,1836.198,0.00027395437561376733,0.0004680987096584669,1126.73,,0.00027293541422858365,1705.28,1.8538836128969693,578.55,1.7459181830281594,-8.554465493249433,-7.998307017420376,0.5561584758290643,Next K,0.24202388799959296
Next K,20,1.0,405,1879.11,0.000278166389321326,0.0003666772103549095,1462.79,,0.00027872968564861814,1786.724,1.2918423218471946,323.934,1.2982574620922427,-8.4529382477364,-8.195989323973764,0.2569489237626578,Next K,0.11336082750138693
Next K,20,1.0,423,1857.4558232931727,0.0004117942362629392,0.00044485976833542667,1137.190763052209,,0.0004116526370883635,1200.206827309237,1.08239551336938,63.01606425702811,1.081635331236085,-8.04321670812461,-7.964755813917457,0.07846089420715317,Next K,0.0340808649051254
Next K,20,1.0,490,1833.2144288577153,0.0002726518715831805,0.0004938268987428361,1276.4889779559119,,0.0002792365716019803,1773.258517034068,1.8171719166047233,496.7695390781563,1.8039081808197273,-8.707215915956622,-8.117873174362986,0.5893427415936334,Next K,0.25621442811824585
