kind,action_count,beta,User,Item,baseline_rho_mat,max_rho_mat,max_rank_mat,updated_baseline_rho_mat,updated_baseline_rank_mat,lift,updated_rank_gain,updated_lift,baseline_rank_mat,log_baseline_rho,log_max_rho,log_lift,fancy_kind,new_log_lift
Next K,20,1.0,16,1864.5971659919028,0.00029478815942743353,0.003112525186701202,253.2246963562753,0.0002872492475584598,1832.3036437246963,37.24086172624756,1579.078947368421,20.445832668840918,,-8.271411040710019,-7.181211233417981,1.090199807292033,Next K,1.3106048021546783
Next K,20,1.0,29,1842.4367088607594,0.0002748919313248843,0.003079412355620488,86.4324894514768,0.00027213138408327246,1834.529535864979,32.002414969823334,1748.097046413502,36.470794715537465,,-8.326290506014981,-6.685498550839886,1.640791955175095,Next K,1.561945226895141
Next K,20,1.0,34,1829.849173553719,0.0002981770623263731,0.0032185646151111766,221.17768595041323,0.0002877158966551719,1711.8057851239669,27.288324256411983,1490.6280991735537,19.799955528347592,,-8.354504333171919,-7.013336330796819,1.3411680023750774,Next K,1.2966642148163325
Next K,20,1.0,43,1823.6424116424116,0.00028348078594333506,0.0034995727416379935,274.26611226611226,0.00027825121067243715,1691.7609147609148,55.1520863268686,1417.4948024948026,28.431089595988997,,-8.301890852821222,-7.249716555349716,1.052174297471503,Next K,1.4537935039555783
Next K,20,1.0,45,1874.5131845841786,0.00026403861077497624,0.0013077189681996095,1427.7768762677485,1.1257171261154025e-08,1819.7281947261663,95.3898213301635,391.95131845841786,191628012.89919192,,-21.518954627379674,-16.158096844478877,5.360857782900821,Next K,8.282458996174014
Next K,20,1.0,62,1852.3456790123457,0.0002930401680508941,0.003368590384618152,503.6152263374486,0.00026831487057968974,1830.3148148148148,42.26863638506414,1326.6995884773662,63.013316243751866,,-8.437434963660536,-7.480268471660007,0.957166492000526,Next K,1.799432336121452
Next K,20,1.0,75,1841.6214574898786,0.00027813063126732825,0.002650205543132358,346.253036437247,0.0002668880089283667,1809.5526315789473,28.630459461843103,1463.2995951417004,19.991046767235744,,-8.34866961967659,-7.339935455657451,1.0087341640191287,Next K,1.3008355351552425
Next K,20,1.0,104,1776.1509054325957,0.0002855397933054669,0.0012086875834500792,612.0,0.00026844575313946255,1860.076458752515,14.08432012996104,1248.076458752515,8.603445206618218,,-8.383924475461596,-7.624277719506415,0.7596467559551856,Next K,0.9346723971277021
Next K,20,1.0,118,1808.8858350951375,0.00028999105387875597,0.0026103695146700804,156.19873150105707,0.0002867317487604074,1902.2219873150107,15.315306696107195,1746.0232558139535,13.792621353682419,,-8.253155452594505,-6.987750638776885,1.2654048138176253,Next K,1.1396468137646536
Next K,20,1.0,127,1862.0772357723577,0.0002622141829608574,0.0014771118924695027,1490.0182926829268,7.272646680783167e-05,1835.9573170731708,46.03684684770025,345.9390243902439,75.69559353711308,,-10.061125950711219,-9.59399176372535,0.4671341869858588,Next K,1.8790705986781897
Next K,20,1.0,152,1876.158536585366,0.00028099687908495315,0.00011126840272319504,1572.321138211382,1.1774828125838141e-05,1750.5020325203252,1.0974178292464158,178.1808943089431,117.50143292658076,,-12.485689110135993,-12.168648373558522,0.31704073657747506,Next K,2.070043162848712
Next K,20,1.0,171,1912.6659574468085,0.00028382845586426395,0.0022483753584090446,169.22553191489362,0.00028049246517843594,1738.5553191489362,10.164876608390589,1569.3297872340424,10.87236919887945,,-8.309935762259872,-7.025437424391784,1.2844983378680894,Next K,1.0363241915457815
