dataset,model,beta,k,actions,data_pop_corr,base_pop_corr,max_pop_corr,base_exp_corr,max_exp_corr
ml-1m,knn,1.0,10,next_k,0.34628012637495525,0.9681025520063392,0.9664593874577061,0.28804530498223263,-0.08804847793748422
ml-1m,knn,0.5,10,next_k,0.34628012637495525,0.9715010071788066,0.9716966414450247,0.30529037282454996,-0.17123803753140254
ml-1m,knn,2.0,10,next_k,0.34628012637495525,0.9495809887803389,0.942986323538843,0.20655632402398572,-0.03192854391792587
ml-1m,knn,0.5,20,next_k,0.34628012637495525,0.9561626342761067,0.9544852854242823,0.3036120133032952,-0.43987860280665747
ml-1m,knn,0.5,5,next_k,0.34628012637495525,0.9758417580346445,0.9756620663527075,0.17470726776659798,0.03137557620072724
ml-1m,knn,2.0,5,next_k,0.34628012637495525,0.9573946566404672,0.953931067611072,0.22625995767881524,0.24648009330586307
ml-1m,knn,2.0,20,next_k,0.34628012637495525,0.9347008777086373,0.9164420776096005,0.13563876571021588,-0.27500188767065237
ml-1m,knn,4.0,10,next_k,0.34628012637495525,0.9020381123215238,0.8920863037167112,-0.002062930395370741,-0.062080860417773095
ml-1m,knn,10.0,10,next_k,0.34628012637495525,0.8600718876937921,0.8455159653319267,-0.01296237383076803,-0.22172463312254037
ml-1m,knn,10.0,5,next_k,0.34628012637495525,0.859305318793196,0.8510156183143963,-0.16629459342484937,-0.29302184090171374
ml-1m,knn,10.0,20,next_k,0.34628012637495525,0.8629038936898273,0.850511926412998,-0.032360596563208624,-0.23736989786326476
ml-1m,knn,4.0,20,next_k,0.34628012637495525,0.899675488617086,0.8746984500948316,-0.03762155436472345,-0.20465673997294442
ml-1m,knn,4.0,5,next_k,0.34628012637495525,0.9123849404054447,0.9067753389479596,-0.007517009178044016,-0.017799230010656978
ml-1m,knn,2.0,10,random_history,0.34628012637495525,0.73122948736499,0.6032629555994019,0.08372630808480709,-0.5248681262533799
ml-1m,knn,0.5,10,random_history,0.34628012637495525,0.9103079261816686,0.7943676149222699,0.8136654514776909,-0.47124694034932985
ml-1m,knn,0.1,10,random_history,0.34628012637495525,0.9356091503488749,0.9141511714868745,0.790235558163323,-0.4711595129307794
ml-1m,knn,10.0,10,random_history,0.34628012637495525,0.6407557228348219,0.6527586547009555,-0.25545701956670164,-0.7490206957245688
ml-1m,knn,1.0,10,random_history,0.34628012637495525,0.8288064346981385,0.6134289038872593,0.6998165072035406,-0.4934028942924048
ml-1m,knn,4.0,10,random_history,0.34628012637495525,0.6739485489719554,0.6625154424878997,-0.3317126696342247,-0.5814193374828339
ml-1m,knn,1.0,20,random_history,0.34628012637495525,0.8369823720999638,0.591291105784304,0.3125624325310161,-0.5493716715335758
ml-1m,knn,4.0,20,random_history,0.34628012637495525,0.7185441634055421,0.6408862049726873,-0.6458893709548391,-0.7661166758689981
ml-1m,knn,2.0,5,random_history,0.34628012637495525,0.7742773424960503,0.7069194606401294,0.3401821122857618,-0.3012864117705657
ml-1m,knn,10.0,5,random_history,0.34628012637495525,0.7090085673642997,0.6811159911968411,-0.10851586855355326,-0.585237057720338
ml-1m,knn,2.0,20,random_history,0.34628012637495525,0.7474520081439008,0.5582791035680387,-0.41966099753958974,-0.6776712772480471
ml-1m,knn,4.0,5,random_history,0.34628012637495525,0.7332203564185826,0.7276460426225809,-0.07215025483533641,-0.3500885688059571
ml-1m,knn,1.0,5,random_history,0.34628012637495525,0.8566269059296818,0.718111743027332,0.718430320964227,-0.3398038084403437
ml-1m,knn,10.0,20,random_history,0.34628012637495525,0.6898057978015085,0.6730708770780626,-0.29359148108268995,-0.8682106619978956
ml-1m,knn,1.0,20,random_future,0.34628012637495525,0.9800833288859104,0.747225775135301,0.043543913440820814,-0.7151014258138674
ml-1m,knn,4.0,20,random_future,0.34628012637495525,0.930863943235646,0.571892368590204,0.05412801695701265,-0.5470158527313035
ml-1m,knn,2.0,5,random_future,0.34628012637495525,0.9603146433186482,0.8339918921434067,0.22159910173678418,-0.17296813075695028
ml-1m,knn,2.0,10,random_future,0.34628012637495525,0.9624298778265141,0.7381445980318596,0.24350579517351015,-0.4743116842568884
ml-1m,knn,10.0,5,random_future,0.34628012637495525,0.8453473389426746,0.6832664663320066,-0.026973985961645092,-0.3053540480976952
ml-1m,knn,2.0,20,random_future,0.34628012637495525,0.966956958785467,0.6190463678334976,0.16443784611119128,-0.6779936103744245
ml-1m,knn,10.0,10,random_future,0.34628012637495525,0.8560920094997622,0.5907718409708047,-0.042107939375832966,-0.44509903539886636
ml-1m,knn,4.0,5,random_future,0.34628012637495525,0.9132971579052175,0.7614049436666401,0.018209529436741225,-0.22903744883319552
ml-1m,knn,1.0,10,random_future,0.34628012637495525,0.9784843889651668,0.8600433609309721,0.17368691411216147,-0.566016292639091
ml-1m,knn,4.0,10,random_future,0.34628012637495525,0.917528274436665,0.6578591379975437,0.02274340980371662,-0.4021363501418296
ml-1m,knn,1.0,5,random_future,0.34628012637495525,0.9779937942567613,0.9198509993614229,0.1981068827901841,-0.33140247446459725
ml-1m,knn,10.0,20,random_future,0.34628012637495525,0.8807331791565839,0.5410452545983168,-0.004664362359890692,-0.4450443244026729
mind,libfm,2.0,10,next_k,0.8639917761895932,0.8252509661266423,0.43521207378427557,0.05096112064536299,0.11255849508314687
lastfm,libfm,2.0,10,next_k,0.13331830889892965,0.6711012763516903,0.14594856262768444,-0.08413018064292033,-0.08922632555271941
